# Gene Family	ERR1018190_join_Abundance-RPKs
UNMAPPED	113565.0000000000
UniRef90_unknown	11069.6268798994
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	3444.4764731232
UniRef90_unknown|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1851.2034150708
UniRef90_unknown|g__Alistipes.s__Alistipes_onderdonkii	1773.0782726515
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_distasonis	926.6270251350
UniRef90_unknown|g__Escherichia.s__Escherichia_coli	892.5655726054
UniRef90_unknown|g__Bacteroides.s__Bacteroides_fragilis	643.8814756013
UniRef90_unknown|g__Bacteroides.s__Bacteroides_caccae	563.7377043417
UniRef90_unknown|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	323.9567331162
UniRef90_unknown|g__Coprococcus.s__Coprococcus_comes	250.5480999074
UniRef90_unknown|g__Clostridium.s__Clostridium_bolteae	249.4938780586
UniRef90_unknown|g__Eubacterium.s__Eubacterium_rectale	122.9428305472
UniRef90_unknown|g__Ruminococcus.s__Ruminococcus_bromii	27.1153997412
UniRef90_UPI0003689BC6	545.1852248634
UniRef90_UPI0003689BC6|g__Alistipes.s__Alistipes_onderdonkii	545.1852248634
UniRef90_A8A530	506.8965517241
UniRef90_A8A530|g__Escherichia.s__Escherichia_coli	506.8965517241
UniRef90_A8RSZ3	500.0000000000
UniRef90_A8RSZ3|g__Clostridium.s__Clostridium_bolteae	500.0000000000
UniRef90_A8S6K0	500.0000000000
UniRef90_A8S6K0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	500.0000000000
UniRef90_B1LJ62	500.0000000000
UniRef90_B1LJ62|g__Escherichia.s__Escherichia_coli	500.0000000000
UniRef90_F3PNT0	454.9535148648
UniRef90_F3PNT0|g__Bacteroides.s__Bacteroides_fragilis	454.9535148648
UniRef90_B5D4J0	419.7618255738
UniRef90_B5D4J0|g__Bacteroides.s__Bacteroides_fragilis	415.1956155281
UniRef90_B5D4J0|g__Parabacteroides.s__Parabacteroides_distasonis	4.5662100457
UniRef90_E5V0K7	395.5105400687
UniRef90_E5V0K7|g__Bacteroides.s__Bacteroides_fragilis	395.5105400687
UniRef90_E5V0K3	369.5102357615
UniRef90_E5V0K3|g__Bacteroides.s__Bacteroides_fragilis	369.5102357615
UniRef90_Q8A657	356.1789934011
UniRef90_Q8A657|g__Bacteroides.s__Bacteroides_thetaiotaomicron	356.1789934011
UniRef90_C3Q3R4	333.3333333333
UniRef90_C3Q3R4|g__Bacteroides.s__Bacteroides_dorei	333.3333333333
UniRef90_R9H745	333.3333333333
UniRef90_R9H745|g__Bacteroides.s__Bacteroides_thetaiotaomicron	333.3333333333
UniRef90_E5V0J2	259.0657243357
UniRef90_E5V0J2|g__Bacteroides.s__Bacteroides_fragilis	259.0657243357
UniRef90_A6L104	250.0000000000
UniRef90_A6L104|g__Bacteroides.s__Bacteroides_dorei	250.0000000000
UniRef90_D1K7N3	250.0000000000
UniRef90_D1K7N3|g__Bacteroides.s__Bacteroides_dorei	250.0000000000
UniRef90_D4K358	250.0000000000
UniRef90_D4K358|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	250.0000000000
UniRef90_E2ZFB3	250.0000000000
UniRef90_E2ZFB3|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	250.0000000000
UniRef90_F3PNT7	230.0558952953
UniRef90_F3PNT7|g__Bacteroides.s__Bacteroides_fragilis	230.0558952953
UniRef90_R6HL35	216.9491525424
UniRef90_R6HL35|g__Bacteroides.s__Bacteroides_dorei	216.9491525424
UniRef90_J9F692	215.3041512748
UniRef90_J9F692|g__Bacteroides.s__Bacteroides_fragilis	215.3041512748
UniRef90_E1JF05	212.0056719919
UniRef90_E1JF05|g__Escherichia.s__Escherichia_coli	212.0056719919
UniRef90_C6IUU9	211.9951205767
UniRef90_C6IUU9|g__Bacteroides.s__Bacteroides_dorei	172.5866445850
UniRef90_C6IUU9|g__Bacteroides.s__Bacteroides_caccae	39.4084759916
UniRef90_C3R498	202.1736008594
UniRef90_C3R498|g__Bacteroides.s__Bacteroides_fragilis	202.1736008594
UniRef90_C3Q368	200.0000000000
UniRef90_C3Q368|g__Bacteroides.s__Bacteroides_dorei	200.0000000000
UniRef90_F3PYA5	200.0000000000
UniRef90_F3PYA5|g__Bacteroides.s__Bacteroides_dorei	200.0000000000
UniRef90_R6XQT3	200.0000000000
UniRef90_R6XQT3|g__Alistipes.s__Alistipes_onderdonkii	200.0000000000
UniRef90_E4W3E9	196.3879188992
UniRef90_E4W3E9|g__Bacteroides.s__Bacteroides_fragilis	196.3879188992
UniRef90_G1ULB5	195.1970443350
